1585	99.5
1545	99
1510	98
1485	97
1460	96
1435	95
1415	94
1400	93
1385	92
1370	91
1355	90
1340	89
1330	88
1315	87
1300	86
1290	85
1280	84
1270	83
1260	82
1250	81
1240	80
1230	79
1220	78
1210	76
1200	75
1190	74
1180	73
1170	71
1160	70
1150	69
1140	67
1130	66
1120	64
1110	63
1100	61
1090	60
1080	58
1070	56
1060	55
1050	53
1040	52
1030	50
1020	48
1010	47
1000	45
990	43
980	42
970	40
960	39
950	37
940	36
930	34
920	32
910	31
900	29
890	28
880	26
870	25
860	23
850	22
840	20
830	19
820	17
810	16
800	14
790	13
780	12
770	10
760	9
750	8
740	7
730	6
720	5
710	4
695	3
675	2
640	1
400	0
